t (s),acceleration (m/s^2),veh_id,position_x (m),position_y (m),vitesse (m/s)
66.3,1.3450363975949564,f_0.11,-2.9110314564859348,-1.6,2.8435081288350545
66.3,1.9530471587990728,f_0.12,-11.683667093676192,-1.6,1.569827040781549
66.3,1.1619229117308798,f_0.13,-19.777114111994152,-1.6,0.5952314630052511
66.3,0.4244640420004364,f_0.14,-27.46341405207599,-1.6,0.14184948351225857
66.3,0.08037956206783578,f_0.15,-35.0017254718974,-1.6,0.025173996835675217
66.3,0.004175302632980216,f_0.16,-42.51645966843458,-1.6,0.011995564383277282
66.3,-0.022309363471519836,f_0.17,-50.04960345030619,-1.6,0.032495112637286466
66.3,-0.034328370668448155,f_0.18,-57.64568736329868,-1.6,0.10068355856398843
66.3,-0.1362260412600852,f_0.19,-65.40164449048197,-1.6,0.2672354761559788
66.3,-0.4004403747984775,f_0.20,-73.52077307762784,-1.6,0.6254643152099744
66.3,-0.5946560711815652,f_0.21,-82.20263289900595,-1.6,1.1303396741929705
66.3,0.3215862952397708,f_0.22,-91.13385807234239,-1.6,1.3882970084885933
66.4,2.2226425722939958,f_0.10,183.67884346305684,-1.6,12.236524050926185
66.4,1.936264953203497,f_0.11,-2.6073179940703946,-1.6,3.0371346241554042
66.4,1.6492979361269566,f_0.12,-11.510191410236772,-1.6,1.7347568343942448
66.4,1.3375520808035235,f_0.13,-19.70421544488559,-1.6,0.7289866710856034
66.4,0.5221935463409257,f_0.14,-27.44400716826135,-1.6,0.19406883814635115
66.4,0.1175385413808121,f_0.15,-34.99803268680003,-1.6,0.03692785097375643
66.4,0.015423273083782236,f_0.16,-42.515105879265406,-1.6,0.013537891691655505
66.4,-0.014266955952595417,f_0.17,-50.046496608602,-1.6,0.031068417042026925
66.4,-0.06464253781067811,f_0.18,-57.63626543282039,-1.6,0.09421930478292062
66.4,-0.21723258085247804,f_0.19,-65.3770932686749,-1.6,0.245512218070731
66.4,-0.4697831331939939,f_0.20,-73.46292447743878,-1.6,0.578486001890575
66.4,-0.6481220346172822,f_0.21,-82.09608015193282,-1.6,1.0655274707312423
66.4,-0.7389394108667457,f_0.22,-91.0024177656022,-1.6,1.3144030674019187
66.5,2.389045991399321,f_0.10,184.92638632806344,-1.6,12.475428650066117
66.5,1.7634452630532937,f_0.11,-2.285970079024321,-1.6,3.2134791504607336
66.5,1.2370218253372478,f_0.12,-11.32434550854397,-1.6,1.8584590169279696
66.5,1.6144967562512025,f_0.13,-19.61517181021452,-1.6,0.8904363467107237
66.5,0.657477073484379,f_0.14,-27.418025513711868,-1.6,0.25981654549478905
66.5,0.14453648531549712,f_0.15,-34.992894536849505,-1.6,0.05138149950530614
66.5,0.01805426479386021,f_0.16,-42.51357154744831,-1.6,0.015343318171041526
66.5,-0.011332472776139774,f_0.17,-50.04350309162555,-1.6,0.029935169764412947
66.5,-0.0733561673868173,f_0.18,-57.627577064015966,-1.6,0.08688368804423889
66.5,-0.16783925391667204,f_0.19,-65.35422043940699,-1.6,0.2287282926790638
66.5,-0.2232855640062592,f_0.20,-73.40730873288979,-1.6,0.556157445489949
66.5,-0.5098729848307682,f_0.21,-81.994626134708,-1.6,1.0145401722481655
66.5,0.03332817002891453,f_0.22,-90.87064417716172,-1.6,1.3177358844048102
66.6,1.4680593771627137,f_0.10,186.18860978684168,-1.6,12.622234587782389
66.6,2.099722905526873,f_0.11,-1.9436249349229788,-1.6,3.423451441013421
66.6,2.1843181406426337,f_0.12,-11.116656425444745,-1.6,2.076890830992233
66.6,1.1491111971207757,f_0.13,-19.514637063572238,-1.6,1.0053474664228013
66.6,0.7427707220489943,f_0.14,-27.3846161519419,-1.6,0.3340936176996885
66.6,0.2128055810976244,f_0.15,-34.985628331087995,-1.6,0.07266205761506858
66.6,0.037231875931982954,f_0.16,-42.51166489687188,-1.6,0.01906650576423982
66.6,-0.018511861673225043,f_0.17,-50.040694693265834,-1.6,0.028083983597090443
66.6,-0.07845652441552067,f_0.18,-57.6196732604557,-1.6,0.07903803560268682
66.6,-0.09603586347059684,f_0.19,-65.33230796877379,-1.6,0.21912470633200412
66.6,-0.1550627904252322,f_0.20,-73.35324361624504,-1.6,0.5406511664474258
66.6,0.1037640770593673,f_0.21,-81.8921344767126,-1.6,1.0249165799541022
66.6,-0.5171208806914995,f_0.22,-90.74404179752815,-1.6,1.2660237963356602
